#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Staphylococcus aureus subsp. aureus,MRSA_P6,19988,SAMEA3139087 ,PRJEB5444,Terrabacteria group,Firmicutes,GCA_000731595.1 ,2.8154,32.8,-,CBYX01,111,2926,2795,2014/7/13,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/595/GCF_000731595.1_MRSA_P6_CLCBio_denovo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/595/GCA_000731595.1_MRSA_P6_CLCBio_denovo
Staphylococcus aureus CUHK_BJ2002,CUHK_BJ2002,19988,SAMN02442047 ,PRJNA231228,Terrabacteria group,Firmicutes,GCA_000732805.1 ,2.8894,32.7,-,AZMY01,89,3038,2901,2014/7/23,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/805/GCF_000732805.1_ASM73280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/805/GCA_000732805.1_ASM73280v1
Staphylococcus aureus CUHK_BJ2007,CUHK_BJ2007,19988,SAMN02442048 ,PRJNA231229,Terrabacteria group,Firmicutes,GCA_000732815.1 ,2.84231,32.7,-,AZMX01,81,2963,2826,2014/7/23,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/815/GCF_000732815.1_ASM73281v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/815/GCA_000732815.1_ASM73281v1
Staphylococcus aureus CUHK_HK1997,CUHK_HK1997,19988,SAMN02438465 ,PRJNA230895,Terrabacteria group,Firmicutes,GCA_000732825.1 ,3.00848,32.7,-,AZJQ01,125,3196,3050,2014/7/23,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/825/GCF_000732825.1_ASM73282v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/825/GCA_000732825.1_ASM73282v1
Staphylococcus aureus CUHK_HK2007,CUHK_HK2007,19988,SAMN02442046 ,PRJNA231222,Terrabacteria group,Firmicutes,GCA_000732835.1 ,2.99787,32.6,-,AZMZ01,81,3156,3008,2014/7/23,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/835/GCF_000732835.1_ASM73283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/835/GCA_000732835.1_ASM73283v1
Staphylococcus aureus subsp. aureus CO-06,CO-06,19988,SAMN00138224 ,PRJNA53821,Terrabacteria group,Firmicutes,GCA_000734845.1 ,2.89206,32.6,-,AJKC01,62,3072,2880,2014/7/28,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/845/GCF_000734845.1_Saureusco06v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/845/GCA_000734845.1_Saureusco06v1.0
Staphylococcus aureus subsp. aureus,NGS-ED-1006,19988,SAMN02947221 ,PRJNA255947,Terrabacteria group,Firmicutes,GCA_000739205.1 ,2.80842,32.7,-,JPWO01,11,2915,2732,2014/8/13,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/205/GCF_000739205.1_ASM73920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/205/GCA_000739205.1_ASM73920v1
Staphylococcus aureus,327,19988,SAMN02983094 ,PRJNA258046,Terrabacteria group,Firmicutes,GCA_000747275.1 ,2.85436,32.7,-,JQGQ01,107,3019,2857,2014/9/2,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/275/GCF_000747275.1_ASM74727v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/275/GCA_000747275.1_ASM74727v1
Staphylococcus aureus,,19988,SAMEA2008002 ,PRJEB6391,Terrabacteria group,Firmicutes,GCA_000751255.1 ,2.7484,32.2,-,CCEL01,35,2748,2601,2014/9/6,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/255/GCF_000751255.1_Sa_FSA084,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/255/GCA_000751255.1_Sa_FSA084
Staphylococcus aureus,,19988,SAMEA2007889 ,PRJEB6389,Terrabacteria group,Firmicutes,GCA_000751515.1 ,2.78371,32.2,-,CCEH01,58,2784,2593,2014/9/5,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/515/GCF_000751515.1_Sa_FSA037,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/515/GCA_000751515.1_Sa_FSA037
Staphylococcus aureus,,19988,SAMEA2007892 ,PRJEB6390,Terrabacteria group,Firmicutes,GCA_000751875.1 ,2.80552,32.2,-,CCEK01,47,2801,2628,2014/9/5,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/875/GCF_000751875.1_Sa_FSA096,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/751/875/GCA_000751875.1_Sa_FSA096
Staphylococcus aureus,337,19988,SAMN02953024 ,PRJNA257536,Terrabacteria group,Firmicutes,GCA_000763455.1 ,2.76339,32.7,-,JQIZ01,95,2884,2725,2014/10/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/455/GCF_000763455.1_ASM76345v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/455/GCA_000763455.1_ASM76345v1
Staphylococcus aureus subsp. aureus MRSA_PR1,MRSA_PR1,19988,SAMN03196741 ,PRJNA65467,Terrabacteria group,Firmicutes,GCA_000784385.1 ,2.76255,32.7,-,ANPO01,25,2866,2737,2014/11/17,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/385/GCF_000784385.1_MRSA_PR1v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/385/GCA_000784385.1_MRSA_PR1v1.0
Staphylococcus aureus,346,19988,SAMN02978821 ,PRJNA257767,Terrabacteria group,Firmicutes,GCA_000787025.1 ,3.01458,32.7,-,JQNU01,168,3173,3022,2014/11/25,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/025/GCF_000787025.1_ASM78702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/025/GCA_000787025.1_ASM78702v1
Staphylococcus aureus subsp. aureus,MRSA_S1,19988,SAMEA3158466 ,PRJEB5454,Terrabacteria group,Firmicutes,GCA_000801255.1 ,2.8001,32.8,-,CBZH01,131,2903,2758,2014/11/29,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/255/GCF_000801255.1_MRSA_S1_CLCBio_denovo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/255/GCA_000801255.1_MRSA_S1_CLCBio_denovo
Staphylococcus aureus,SAU060112,19988,SAMEA2771242 ,PRJEB6981,Terrabacteria group,Firmicutes,GCA_000824985.1 ,2.67531,32.8,-,CCXN01,17,2745,2595,2014/9/23,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/824/985/GCF_000824985.1_SAU060112_PRJEB6981_wgs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/824/985/GCA_000824985.1_SAU060112_PRJEB6981_wgs
Staphylococcus aureus,K12PJN53,19988,SAMN03103724 ,PRJNA263555,Terrabacteria group,Firmicutes,GCA_000827155.1 ,2.88011,32.9,-,JSYA01,44,3003,2791,2015/1/21,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/155/GCF_000827155.1_ASM82715v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/155/GCA_000827155.1_ASM82715v1
Staphylococcus aureus MRSA_CVM43477,MRSA_CVM43477,19988,SAMN02583623 ,PRJNA234426,Terrabacteria group,Firmicutes,GCA_000830555.1 ,2.7568,32.7,-,JANQ01,197,2935,2670,2015/1/30,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/555/GCF_000830555.1_ASM83055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/555/GCA_000830555.1_ASM83055v1
Staphylococcus aureus,PB1-1,19988,SAMN03287930 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831635.1 ,2.81024,32.7,-,JXOA01,273,2968,2727,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/635/GCF_000831635.1_ASM83163v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/635/GCA_000831635.1_ASM83163v1
Staphylococcus aureus,PB1-15-1,19988,SAMN03287931 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831765.1 ,2.81102,32.7,-,JXRX01,427,3103,2716,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/765/GCF_000831765.1_ASM83176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/765/GCA_000831765.1_ASM83176v1
Staphylococcus aureus,PB1-15-2,19988,SAMN03287932 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831775.1 ,2.80402,32.7,-,JXRY01,288,2990,2726,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/775/GCF_000831775.1_ASM83177v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/775/GCA_000831775.1_ASM83177v1
Staphylococcus aureus,PB3-1,19988,SAMN03287933 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831785.1 ,2.84217,32.7,-,JXRZ01,454,3055,2726,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/785/GCF_000831785.1_ASM83178v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/785/GCA_000831785.1_ASM83178v1
Staphylococcus aureus,PB3-74,19988,SAMN03287938 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831845.1 ,2.84333,32.7,-,JXSE01,358,3001,2740,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/845/GCF_000831845.1_ASM83184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/845/GCA_000831845.1_ASM83184v1
Staphylococcus aureus,PB3-32-2,19988,SAMN03287936 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831855.1 ,2.84245,32.7,-,JXSC01,306,2977,2747,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/855/GCF_000831855.1_ASM83185v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/855/GCA_000831855.1_ASM83185v1
Staphylococcus aureus,PB3-72,19988,SAMN03287937 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831865.1 ,2.83972,32.7,-,JXSD01,452,3045,2719,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/865/GCF_000831865.1_ASM83186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/865/GCA_000831865.1_ASM83186v1
Staphylococcus aureus,PB3-32-1,19988,SAMN03287935 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831885.1 ,2.8396,32.7,-,JXSB01,495,3077,2721,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/885/GCF_000831885.1_ASM83188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/885/GCA_000831885.1_ASM83188v1
Staphylococcus aureus,RB4,19988,SAMN03287940 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831925.1 ,2.82358,32.7,-,JXSG01,880,3248,2648,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/925/GCF_000831925.1_ASM83192v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/925/GCA_000831925.1_ASM83192v1
Staphylococcus aureus,RB1,19988,SAMN03287939 ,PRJNA272749,Terrabacteria group,Firmicutes,GCA_000831965.1 ,2.855,32.7,-,JXSF01,306,3080,2771,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/965/GCF_000831965.1_ASM83196v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/965/GCA_000831965.1_ASM83196v1
Staphylococcus aureus subsp. aureus,FRI137,19988,SAMN03202657 ,PRJNA268065,Terrabacteria group,Firmicutes,GCA_000877835.1 ,2.81102,32.8,-,JXHX01,74,2935,2733,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/835/GCF_000877835.1_FRI137_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/835/GCA_000877835.1_FRI137_1.0
Staphylococcus aureus subsp. aureus,CCM5757,19988,SAMN03198884 ,PRJNA267633,Terrabacteria group,Firmicutes,GCA_000877845.1 ,2.91499,32.9812,plasmid pCCM5757-1:NZ_CM003165.1/CM003165.1; plasmid pCCM5757-2:NZ_CM003166.1/CM003166.1,JXHU01,163,3071,2937,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/845/GCF_000877845.1_CCM5757_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/845/GCA_000877845.1_CCM5757_1.0
Staphylococcus aureus subsp. aureus,A900624,19988,SAMN03202272 ,PRJNA268068,Terrabacteria group,Firmicutes,GCA_000877855.1 ,2.7702,32.8661,plasmid pA900624:NZ_CM003164.1/CM003164.1,JXHT01,82,2852,2682,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/855/GCF_000877855.1_A900624_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/855/GCA_000877855.1_A900624_1.0
Staphylococcus aureus subsp. aureus,SA-085,19988,SAMN03219991 ,PRJNA268545,Terrabacteria group,Firmicutes,GCA_000877865.1 ,2.74537,32.8,-,JXIF01,196,2906,2702,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/865/GCF_000877865.1_SA-085_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/865/GCA_000877865.1_SA-085_1.0
Staphylococcus aureus subsp. aureus,SA-260,19988,SAMN03219994 ,PRJNA268548,Terrabacteria group,Firmicutes,GCA_000877915.1 ,2.92411,32.892,plasmid pSA-260:NZ_CM003171.1/CM003171.1,JXIB01,142,3081,2869,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/915/GCF_000877915.1_SA-260_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/915/GCA_000877915.1_SA-260_1.0
Staphylococcus aureus subsp. aureus,SA-083,19988,SAMN03219989 ,PRJNA268488,Terrabacteria group,Firmicutes,GCA_000877925.1 ,2.79232,33.2,-,JXIE01,98,2923,2763,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/925/GCF_000877925.1_SA-083_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/925/GCA_000877925.1_SA-083_1.0
Staphylococcus aureus subsp. aureus,SA-210,19988,SAMN03219993 ,PRJNA268547,Terrabacteria group,Firmicutes,GCA_000877955.1 ,2.77776,33.1,-,JXIH01,114,2871,2753,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/955/GCF_000877955.1_SA-210_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/955/GCA_000877955.1_SA-210_1.0
Staphylococcus aureus subsp. aureus,DSM 799,19988,SAMN03198887 ,PRJNA267636,Terrabacteria group,Firmicutes,GCA_000877975.1 ,2.79866,32.9788,plasmid pDSM799:NZ_CM003167.1/CM003167.1,JXHV01,95,2903,2739,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/975/GCF_000877975.1_DSM799_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/975/GCA_000877975.1_DSM799_1.0
Staphylococcus aureus subsp. aureus,FRI1151m,19988,SAMN03202224 ,PRJNA268061,Terrabacteria group,Firmicutes,GCA_000877985.1 ,2.7401,32.7531,plasmid pFRI1151m:NZ_CM003168.1/CM003168.1,JXHW01,81,2825,2691,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/877/985/GCF_000877985.1_FRI1151m_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/877/985/GCA_000877985.1_FRI1151m_1.0
Staphylococcus aureus subsp. aureus,SA-006,19988,SAMN03202661 ,PRJNA268074,Terrabacteria group,Firmicutes,GCA_000878015.1 ,2.78533,32.8,-,JXHY01,80,2867,2680,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/015/GCF_000878015.1_SA-006_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/015/GCA_000878015.1_SA-006_1.0
Staphylococcus aureus subsp. aureus,SA-022,19988,SAMN03219984 ,PRJNA268479,Terrabacteria group,Firmicutes,GCA_000878025.1 ,2.82883,32.785,plasmid pSA-022:NZ_CM003169.1/CM003169.1,JXHZ01,75,2949,2766,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/025/GCF_000878025.1_SA-022_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/025/GCA_000878025.1_SA-022_1.0
Staphylococcus aureus subsp. aureus,SA-038,19988,SAMN03219986 ,PRJNA268482,Terrabacteria group,Firmicutes,GCA_000878035.1 ,2.81776,32.7463,plasmid pSA-038:NZ_CM003170.1/CM003170.1,JXIA01,91,2910,2777,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/035/GCF_000878035.1_SA-038,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/035/GCA_000878035.1_SA-038
Staphylococcus aureus subsp. aureus,SA-047,19988,SAMN03219987 ,PRJNA268483,Terrabacteria group,Firmicutes,GCA_000878055.1 ,2.74156,32.8659,plasmid pSA-047:NZ_CM003172.1/CM003172.1,JXIC01,89,2850,2673,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/055/GCF_000878055.1_SA-047,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/055/GCA_000878055.1_SA-047
Staphylococcus aureus subsp. aureus,SA-067,19988,SAMN03219988 ,PRJNA268484,Terrabacteria group,Firmicutes,GCA_000878095.1 ,2.85211,33.1677,plasmid pSA-067:NZ_CM003173.1/CM003173.1,JXID01,203,2982,2808,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/095/GCF_000878095.1_SA-067_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/095/GCA_000878095.1_SA-067_1.0
Staphylococcus aureus subsp. aureus,SA-120,19988,SAMN03219992 ,PRJNA268546,Terrabacteria group,Firmicutes,GCA_000878105.1 ,3.01221,35.9,-,JXIG01,630,2919,2729,2015/2/19,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/878/105/GCF_000878105.1_SA-120_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/878/105/GCA_000878105.1_SA-120_1.0
Staphylococcus aureus,P151,19988,SAMN03253057 ,PRJNA269212,Terrabacteria group,Firmicutes,GCA_000932275.1 ,2.8838,32.8,-,JYFO01,66,3000,2864,2015/2/24,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/932/275/GCF_000932275.1_ASM93227v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/932/275/GCA_000932275.1_ASM93227v1
Staphylococcus aureus,K12S0375,19988,SAMN03103726 ,PRJNA263554,Terrabacteria group,Firmicutes,GCA_000934285.1 ,2.8891,32.7,-,JYGF01,31,3018,2816,2015/2/25,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/285/GCF_000934285.1_ASM93428v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/285/GCA_000934285.1_ASM93428v1
Staphylococcus aureus,75,19988,SAMN03376162 ,PRJNA276501,Terrabacteria group,Firmicutes,GCA_000949555.1 ,2.65063,32.6,-,JZIO01,26,2758,2514,2015/3/10,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/555/GCF_000949555.1_ASM94955v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/949/555/GCA_000949555.1_ASM94955v1
Staphylococcus aureus,9,19988,SAMN03376161 ,PRJNA276501,Terrabacteria group,Firmicutes,GCA_000949565.1 ,2.6995,32.7,-,JZIN01,31,2766,2598,2015/3/10,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/565/GCF_000949565.1_ASM94956v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/949/565/GCA_000949565.1_ASM94956v1
Staphylococcus aureus,110,19988,SAMN03376163 ,PRJNA276501,Terrabacteria group,Firmicutes,GCA_000949575.1 ,2.66031,32.6,-,JZIP01,25,2765,2525,2015/3/10,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/575/GCF_000949575.1_ASM94957v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/949/575/GCA_000949575.1_ASM94957v1
Staphylococcus aureus,112,19988,SAMN03376164 ,PRJNA276501,Terrabacteria group,Firmicutes,GCA_000949585.1 ,2.64656,32.6,-,JZIQ01,29,2751,2508,2015/3/10,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/585/GCF_000949585.1_ASM94958v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/949/585/GCA_000949585.1_ASM94958v1
Staphylococcus aureus,OC3,19988,SAMD00019145 ,PRJDB3046,Terrabacteria group,Firmicutes,GCA_000974385.1 ,2.92956,32.8,-,BBKC01,144,3091,2936,2015/2/3,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/385/GCF_000974385.1_ASM97438v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/385/GCA_000974385.1_ASM97438v1
Staphylococcus aureus,sp17,19988,SAMN03481073 ,PRJNA280939,Terrabacteria group,Firmicutes,GCA_000981055.1 ,2.68471,32.7,-,LBCS01,10,2750,2570,2015/4/24,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/055/GCF_000981055.1_ASM98105v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/055/GCA_000981055.1_ASM98105v1
Staphylococcus aureus subsp. anaerobius,Mq2T,19988,SAMN03352185 ,PRJNA275681,Terrabacteria group,Firmicutes,GCA_000981205.1 ,2.91236,32.8,-,LAKI01,200,3036,2835,2015/4/27,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/205/GCF_000981205.1_ASM98120v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/205/GCA_000981205.1_ASM98120v1
Staphylococcus aureus MRSN 8611,MRSN 8611,19988,SAMN03486514 ,PRJNA223627,Terrabacteria group,Firmicutes,GCA_000982105.1 ,2.84107,32.7,-,LBIJ01,52,2983,2830,2015/4/29,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/105/GCF_000982105.1_ASM98210v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/105/GCA_000982105.1_ASM98210v1
Staphylococcus aureus MRSN 8613,MRSN 8613,19988,SAMN03486515 ,PRJNA223628,Terrabacteria group,Firmicutes,GCA_000982135.1 ,2.85098,32.6,-,LBII01,42,3004,2856,2015/4/29,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/135/GCF_000982135.1_ASM98213v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/135/GCA_000982135.1_ASM98213v1
Staphylococcus aureus MRSN 2761,MRSN 2761,19988,SAMN03486518 ,PRJNA223633,Terrabacteria group,Firmicutes,GCA_000982185.1 ,2.85253,32.6,-,LBIF01,27,2981,2839,2015/4/29,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/185/GCF_000982185.1_ASM98218v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/185/GCA_000982185.1_ASM98218v1
Staphylococcus aureus,BSAR58,19988,SAMEA1033375 ,PRJEB2655,Terrabacteria group,Firmicutes,GCA_000982735.1 ,2.78642,32.8,-,CHEJ01,31,2845,2711,2015/4/21,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/735/GCF_000982735.1_7092_7_82,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/735/GCA_000982735.1_7092_7_82
Staphylococcus aureus,USFL094,19988,SAMEA1324566 ,PRJEB2870,Terrabacteria group,Firmicutes,GCA_000982775.1 ,2.87654,32.6,-,CHKO01,53,3025,2896,2015/4/21,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/775/GCF_000982775.1_7748_4_96,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/775/GCA_000982775.1_7748_4_96
Staphylococcus aureus,APS210,19988,SAMN03295753 ,PRJNA273780,Terrabacteria group,Firmicutes,GCA_000982855.1 ,2.90647,32.7,-,JXUD01,83,3068,2874,2015/4/30,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/855/GCF_000982855.1_ASM98285v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/855/GCA_000982855.1_ASM98285v1
Staphylococcus aureus,APS211,19988,SAMN03295754 ,PRJNA273780,Terrabacteria group,Firmicutes,GCA_000982925.1 ,2.90531,32.7,-,JXUV01,72,3053,2874,2015/4/30,2017/3/4,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/925/GCF_000982925.1_ASM98292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/925/GCA_000982925.1_ASM98292v1
